Circuit,Base Time (s),Optimized Time (s)
c2670_T000,30.14,30.95
c2670_T001,30.06,31.27
c2670_T002,29.78,29.79
c2670_T003,31.44,29.92
c2670_T004,30.45,31.09
c2670_T005,30.12,31.42
c2670_T006,30.17,29.88
c2670_T007,31.12,29.91
c2670_T008,31.42,30.39
c2670_T009,29.94,31.44
c2670_T010,30.09,30.45
c2670_T011,30.89,29.98
c2670_T012,31.18,29.66
c2670_T013,30.12,31.54
c2670_T014,30.19,30.67
c2670_T015,31.08,30.25
c2670_T016,31.65,29.97
c2670_T017,30.24,31.35
c2670_T018,29.9,31.16
c2670_T019,30.26,29.95
c2670_T020,31.7,29.85
c2670_T021,30.04,31.11
c2670_T022,30.25,31.64
c2670_T023,30.02,30.07
c2670_T024,30.9,29.78
c2670_T025,30.93,29.73
c2670_T026,30.48,30.28
c2670_T027,29.65,30.9
c2670_T028,29.6,32.05
c2670_T029,29.78,30.06
c2670_T030,30.49,29.89
c2670_T031,31.14,29.81
c2670_T032,30.35,30.2
c2670_T033,29.71,31.12
c2670_T034,29.56,30.82
c2670_T035,29.56,29.72
c2670_T036,30.87,29.53
c2670_T037,30.16,29.88
c2670_T038,29.42,30.84
c2670_T039,29.72,31.16
c2670_T040,29.77,29.73
c2670_T041,30.77,29.65
c2670_T042,30.92,29.67
c2670_T043,29.69,30.78
c2670_T044,29.65,30.89
c2670_T045,29.42,29.79
c2670_T046,30.65,29.72
c2670_T047,31.01,29.51
c2670_T048,30.01,30.42
c2670_T049,29.52,30.86
c2670_T050,29.64,30.44
c2670_T051,30.01,29.81
c2670_T052,30.97,29.76
c2670_T053,30.83,29.7
c2670_T054,29.52,30.63
c2670_T055,29.46,30.82
c2670_T056,29.75,29.64
c2670_T057,30.83,29.91
c2670_T058,31.16,29.74
c2670_T059,30.58,29.79
c2670_T060,30.27,31.01
c2670_T061,30.22,31.3
c2670_T062,29.51,30.71
c2670_T063,30.05,29.68
c2670_T064,30.92,29.55
c2670_T065,30.83,29.33
c2670_T066,29.63,30.84
c2670_T067,29.47,30.98
c2670_T068,29.73,29.68
c2670_T069,30.65,29.66
c2670_T070,30.83,29.41
c2670_T071,29.58,30.68
c2670_T072,29.58,30.59
c2670_T073,29.66,29.93
c2670_T074,30.55,29.6
c2670_T075,30.87,30.74
c2670_T076,30.97,29.88
c2670_T077,29.65,31.04
c2670_T078,29.94,31.24
c2670_T079,29.4,30.56
c2670_T080,30.19,29.68
c2670_T081,30.7,29.78
c2670_T082,30.86,29.89
c2670_T083,29.72,30.93
c2670_T084,29.78,31.14
c2670_T085,29.64,30.47
c2670_T086,30.06,29.63
c2670_T087,30.99,29.79
c2670_T088,30.86,29.48
c2670_T089,29.58,30.95
c2670_T090,29.49,30.78
c2670_T091,29.57,30.12
c2670_T092,30.72,29.73
c2670_T093,30.87,29.84
c2670_T094,30.56,29.95
c2670_T095,29.62,31.02
c2670_T096,29.47,30.55
c2670_T097,29.64,30.14
c2670_T098,30.97,29.76
c2670_T099,30.84,29.71
